tweet,username,predict_sentiment
cra utk mnjga budaya betawi prbnyk komunitas org betawi krn it bs mnjdi sarana utk mnjaga eksistensi dri budaya betawi it sndiri melestarikn budaya betawi slh nya dgn mnetapkn cagar budaya ampjuga mnetapkn waris gk benda yg ud dttpkn mnjdi waris milik jkt jakartamenyala,AirinDatangLagi,neutral
jkt adlh kota yg modern kota yg ad indonesia mnjdi tmpat adu nasib pndtng utk mncari untung mnjdi tuju tulang punggung dri daerah jakartamenyala,AirinDatangLagi,positive
terima kasih mas pram jakartamenyala,Aan_Hantorov,positive
allhamdulillah mas pram harga tokoh pimpin kolaboratif ngebuktiin mampu mas pram bangun kerja lintas sektor terima harga wakil o cak lontong ketua timses mas pram bang doel mantap jakartamenyala ,LinNasution,positive
spartan nyala gercep gerak cepat warga butuh bantu kursi roda esok hari langsung antar bukti mas pram amp bang doel kagak ribet gercep pramonorano jakartamenyala nomor,MarahIchsan,neutral
spartan nyala kagak pake ribet hujan panas langsung gass bukti mas pram bang doel ngasih bukti janji percaya tang paslon nomor urut  jakartamenyala,DioR3born,positive
nahh pimpin gak baper kalo kritik jgn kaya ridwan kamil cagub jabar yg emosi kritik warga cagub no  ketawa ngakak roasting komika jakartamenyala gopay  skandal,cahcilich,positive
wadaaw slb jakarta utara akses didik mudah doong didik yg rata bikin jakartamenyala terang mas bang emang syips,TOM5helby,positive
spartan fafifu langsung gerak cepat warga butuh bantu kursi roda esok hari langsung antar bukti mas pram amp bang doel kagak ribet gercep pramonorano jakartamenyala nomor prakaruntukjakarta,KangManto123,neutral
keluh kait banyak sandang disabilitas modal pram janji dana hibah modal kerja disabilitas pilih gubernur jakarta pramono anung  rano karno nyala jakartamenyala prakaruntukjakarta,seruanhl,positive
peduli disabilitas amp butuh khusus peduli amp support umkm peduli lestari budaya betawi yg raih harga tokoh politik kolaboratif detikcom dkj nyala pramdoel jakartamenyala prakaruntukjakarta,tnmuda,positive
umkm tonggak ekonomi indonesia ada umkm bantu daya support umkm mati usaha pramdoel siap dana hibah laku umkm jakartamenyala prakaruntukjakarta  rafael struick irish bela abu janda domisili,_riverheaven,positive
program benyamin s award usung pasang calon gubernur wakil gubernur dki jakarta pramono anung rano karno pilkada  nilai langkah ideal ubah jakarta kota global jakartamenyala,Ganjarfor_ri,neutral
daya umkm titik prioritas utama jakartamenyala akses modal umkm sektor nonformal buka selebarlebarnya geliat ekonomi kelas tengah nyala,TOM5helby,neutral
peduli nyata jakartamenyala,digcv,positive
perintah mesti hadir fasilitas sandang disabilitas mas pram janji tambah slb jakarta utara pilih gubernur daerah khusus jakarta jakartamenyala prakaruntukjakarta skandal exhuma risma yahya sinwar,Muhayya__,positive
calon gubernur jakarta nomor urut  pramono anung janji dana hibah laku usaha mikro tengah umkm pilih pilkada jakarta  jakartamenyala prakaruntukjakarta,Sukapuring,positive
saking cinta warga kebon jati histeris kerubut bang doel pingin salam poto bareng jakartamenyala,Jr_Kawe19,positive
ucap selamat ulang prabowo mas pram calon gubernur jakarta pramono anung ucap selamat ulang presiden pilih prabowo subianto jakartamenyala prakaruntukjakarta,Sukapuring,positive
calon gubernur daerah khusus jakarta pramono anung selamat ulang prabowo moga sehat mas pramono  bang rano jakartamenyala prakaruntukjakarta  hebohbanget hercules gopay agatha christie indah g anies skandal,Eil_Thia,positive
keren kubu lawan panas dingin waga nyanyi rano gubernur gue sambut bang doel kebon jati jakartamenyala,Jr_Kawe19,positive
 ya kampung lahir pimpin bagus kampung transfer abdul ghoni sambut tepuk tangan riah jajar aye mah ngikut forkabi dukung keras pramdoelmenang jakartamenyala,Attaraharja,positive
ya politik riang gembira alhamdulillah hebohbanget politikus nasdem hadir kampanye mas pramono  bang rano jakartamenyala prakaruntukjakarta  hercules gopay agatha christie indah ganies,Eil_Thia,positive
sekretaris kabinet seskab  pramono anung raih harga detikcom awards  tokoh pimpin kolaboratif harga detikcom awards  gelar the westin jakarta kamis  jakartamenyala prakaruntukjakarta,Sukapuring,neutral
bener banget sabar yaa tinggal bulan dikit aja jakartamenyala,DioR3born,positive
bener bang doel putra daerah bukti angkat harkat martabat warga betawi ngapa kudu pilih pimpin transfer jakartamenyala prakaruntukjakarta,abizaiden,positive
pilih nomor  jakarta nyala pram doel mas pram bang doel jakartamenyala kagakribetdah pramonoanungranokarno,MP_Memanggil,positive
pramono anung bangun sekolah slb jakarta utara komitmen upi apriyani milik rumah quran khusus disabilitas jakarta utara pram doel mas pram bang doel jakartamenyala kagakribetdah,MP_Memanggil,positive
mas pram nengokin warga jakarta belanja biar dikelarin pas gubernur yuk enyak babeh lupa pilih pramrano no  jakarta nyala jakartamenyala pramrano doelanakbetawi pilkada pilgubjakarta persija jakmania,fahrialfariz_12,neutral
putra daerah spt bang doel rano yg bukti angkat budaya betawi ngapain pilih pimpin transfer tuju banget wa ma forkabi pramdoelmenang jakartamenyala,Rosmaliaagata,positive
pramono  rano sepakat budaya betawi kuat sebentar jakarta hilang status kota negara kembang budaya tdk liput seni didik amp kuliner pram doel mas pram bang doel jakartamenyala kagakribetdah,MP_Memanggil,neutral
slank aja dukung pramrano resin lingkung jakarta jakartamenyala pramrano doelanakbetawi pilkada pilgubjakarta persija jakmania,fahrialfariz_12,neutral
benyamin s award milik visi bangun kota bersih nyaman indah sejahtera warga jakartamenyala ya kudu dukung mas prambang doel rano dunk lupa yeee nomer  pramdoelmenang,Rosmaliaagata,positive
jakartamenyala abangkuuuuuu ngik,HumorJonTampan,positive
program benyamin s award usung pasang calon gubernur calon wakil gubernur dki jakarta pramono anung rano karno ajang pilgub  nilai strategi ideal jadi jakarta kota global jakartamenyala jakartamnyala pramdoel,_CayoPerico,neutral
pramono anung janji evaluasi retribusi atas proyek mangkrak pasar munjul penuh harap rakyat jakartamenyala,BungkusTukang,neutral
 benyamin s award relevan cermin kota bersih nyaman indah sejahtera sesuai kriteria indeks nilai kota global amat tata kota nirwono yoga jakartamenyala,cak_soleeh,positive
usia prabowo subianto yg  thn cagub jakarta mas doa smg prabowo subianto yg sgr lantik presiden bawa bangsa jakartamenyala prakaruntukjakarta  abu janda skandal rp  agatha christie,Ghurem2,negative
keren program benyamin s award usung paslon gubernur wakil gubernur dki jakarta pramono anung rano karno dlm pilkada  nilai langkah ideal ubah jakarta kota global jakartamenyala pramdoelmenang,wiwiagustin,positive
untungnyaadapramdoel pastinye jakartamenyala prakaruntukjakarta,PemilihJ,positive
transportasi jakarta keren adem tj jakartamenyala busway,Kalibata97,positive
benyamin s award jurus pramonorano jadi jakarta kota global jakartamenyala,b_yoem,negative
salah program keren mas pramdoel rano maju budaya betawi nyak ncang babe masyarakat jakarta gaspol rem yuk dukung mas pram bang doel pimpin jakarta jakartamenyala pramdoelmenang,Attaraharja,positive
pimpin terima masuk kritik dlm bentuk tonton komunikasi event jadi input proses yg nilai baik yg manfaat orang kecuali gak sabar nih nyok bikin jakartamenyala ,King_PWS_,positive
dengar keluh kesah dagang pasar munjul pilih gubernur jakarta siap dana hibah umkm tuju jakartamenyala dukung mas pramonorano menang,abizaiden,negative
mas pramono anung raih harga detikcom awards hebat tokoh pimpin kolaboratif ragu vote  jakartamenyala,Rosmaliaagata,neutral
komitmen mas pilih gubernur jakarta bangun slb jakarta utara mari bantu wujud impi mulia dgn dukung coblos  jakartamenyala pramdoelmenang,cak_soleeh,positive
mas pramono anung blusukan temu warga koja jakarta utara langkah mas pram blusukan sapa dengar yg keluh pimpin sejati ya mas jakartamenyala,wiwiagustin,negative
lembaga adat maju budaya betawi fbr organisasi taung masyarakat betawi titip pramono anung  rano karno yuk dukung budaya betawi lestari anak cucu jakartamenyala,AnakLolina2,neutral
cagub dkj no urut  mas pramono anung selamat ulang  presiden pilih prabowo subianto sehat umur amanah moga mudah pimpin indonesia  jakartamenyala prakaruntukjakarta,03__nakula,positive
program benyamin s award pramonorano nilai dukung jakarta kota global jakarta  program benyamin s award usung pasang calon gubernur calon wakil gubernur dki jakarta pramono anung rano karno ajang pilgub  jakartamenyala,tvspartanindo,positive
kampanye koja warga yg slb jakut tambah tanggap mas pram janji perhati hak anak disabilitas bidang didik pilih gubernur jakarta jakartamenyala,DS_yantie,negative
terobos pramonorano serap aspirasi warga jaring asmara jakarta  pasang calon gubernur wakil gubernur jakarta nomor urut  pramono anung rano karno metode jaring asmara serap aspirasi masyarakat jakarta jakartamenyala,tvspartanindo,neutral
kesini ga  yuk bareng karaoke mas jakartamenyala,PakarINTELek,positive
mantep banget mas pram bang doel puter pilkada jakarta ridwan kamil mending komedi puter aje ye dukung nomor  jakartamenyala met siang lur hepi wiken  agatha christie  abu janda  indah g presentasi anies ,cahcilich,positive
deklarasi warga madura  jakarta dukung mas pram bang doel mantap nih dukung kelompok masyarakat inshaallaah paslon no  mas pram bang doel menang putar jakartamenyala,AleenaDi09,positive
mas pram bangun sekolah slb jakarta utara komitmen mas pramono dengar keluh warga kait minim nya sedia slb wilayah jakartamenyala prakaruntukjakarta,breakingNEW_upd,negative
bikin jakartamenyala,AlasRandu2,negative
alhamdulillah dukung pramdoel pit himpun indonesia tionghoa kampanye nih bangun jakartamenyala sejahtera warga prakaruntukjakarta  agatha christie abu janda indah g presentasi anies,_riverheaven,positive
yg dukung prakar monggo alhamdulilah jakartamenyala prakaruntukjakarta,doctor__fabre,positive
langkah blusukan sapa dengar keluh harap pijak pramonorano karno bangun jakarta yg rakyat jakartamenyala prakaruntukjakarta,FirzaHusainID,neutral
cagub pramono anung bangun huni bangun kantor perintah huni pram rencana bangun ruang kreatif untk kelompok muda dlm bangun yg dgn huni tsb jakartamenyala prakaruntukjajarta erina abu janda indah g hebohbanget,HanifahAndini96,positive
percaya pimpin jakarta pramono anung  rano karno lansir perda lembaga adat maju budaya betawi pramono anung  rano karno jakarta nyala jakartamenyala prakaruntukjakarta,seruanhl,positive
mimpi alm benyamin sueb entitas betawi rupa wujud tanah jakarta harap nada rano karno muda alias bang doel jakartamenyala,Y_Radianto,neutral
pasang pramono anungrano karno janji atur daerah perda untk maju budaya betawi pram temu ketua forum betawi rempug fbr lutfi hakim jakartamenyala prakaruntukjakarta abu janda bahlil indah g erina hebohbanget,HanifahAndini96,positive
slank aja percaya cagub pramono anung pasang rano karno atas lingkung jakarta jakartamenyala,L0ve1ndonesia,positive
cagub pramono anung prioritas giant mangrove sea wall atas banjir rob jakarta jakartamenyala,L0ve1ndonesia,neutral
warga jakarta pasti pilih mas pram bang doel asli betawi   jakartamenyala,L0ve1ndonesia,positive
nih guess minum khas betawi suka  jakartamenyala minum nyala betawi,L0ve1ndonesia,neutral
prabowo subianto ulang  thn mas pram doa prabowo lantik presiden ri   oktober  jakartamenyala prakaruntukjakarta,OniMeniq74,positive
mas harap pimpin amanah bawa indonesia maju moga sehat harap selesai negara selamat ulang jakartamenyala prakaruntukjakarta,kenhans03,positive
perhati mas pram bang doel thd maju umkm wujud dg sedia dana hibah utk umkm sbg modal usaha umkm nyala warga sejahtera jakartamenyala prakaruntukjakarta,Ari3Pras,positive
blusukan gaya mas dar sapa beliau dengar keluh tawar solusi yg sejahtera sosok pimpin amanah yg layak dukung dkj  mas pram  bang doel jakartamenyala prakaruntukjakarta,tnmuda,neutral
waris baik gubernur jakarta dahulu layak terus mas ajar prpr tinggal gubernur dahulu tinggal legacy selesai selesai mantab mas pram jakartamenyala,kenhans03,positive
prakar jakarta jakartamenyala ,Cintada16,positive
bentuk peduli thd anak sandang disabilitas mas pram komitmen bangun sd utk penuh butuh slb jakarta utara mas pram bang doel nyala jakartamenyala prakaruntukjakarta,Ari3Pras,positive
lapis masyarakat rawat perhati mas pram beliau gubernur jakarta teman disabilitas jakartamenyala prakaruntukjakarta,OniMeniq74,positive
cinta persija jackmania mah cman rumus pilih mpruuts  mah ngerendahin  lihat jejak digital  lepeh jakarta ya iyaaa jakartamenyala,siapanamina,negative
wilayah lurah koja jakarta utara gilir kunjung mas pram dengar keluh warga cari solusi diskus motivasi agenda mas pram dlm kunjung jakartamenyala prakaruntukjakarta,Ari3Pras,negative
menang pilkada  janji bangun sekolah slb layak sandang disabilitas jakarta utara menang janji tepat loh mas jakartamenyala prakaruntukjakarta,kenhans03,positive
mas pramono  bang rano bantu umkm jakarta dana hibah pilih gubernur jakarta nyala  jakartamenyala prakaruntukjakarta  yahya sinwar abidzar indah g erina israel sos hebohbanget hamas,Eil_Thia,positive
rano janji revitalisasi pasar jangkrik matraman cari lahan jakarta  calon wakil gubernur cawagub jakarta rano karno unjung pasar jangkrik matraman jakarta timur rano karno janji revitalisasi pasar jangkrik jakartamenyala,tvspartanindo,neutral
pimpin diskriminasi warga negara hak didik layak masyarakat disabilitas thesergios jakartamenyala pramdoelmenang,rob_in9911,positive
mas pram bang doel selamat ekonomi masyarakat usaha mampu masyarakat jakartamenyala pramdoelmenang,rob_in9911,positive
pimpin transfer kompromi politik tak jakarta maju  prakaruntukjakarta bikin jakartamenyala ,AlasRandu2,positive
mas aku kampanye blusukan temu dg warga serap masalah biasa harap warga moga mas pram wujud aspirasi warga gubernur jakarta jakartamenyala prakaruntukjakarta,kenhans03,positive
berangkat dr belanja pasar munjul pramdoel tekad tinjau ulang restribusi yg mahal lanjut bangun pasar yg mangkrak alhamdulillah jakartamenyala,siapanamina,neutral
sukses pilkada serentak  dgn damai aman riang gembira jakartamenyala ,DioR3born,positive
warung madura buka  jam emang salah komitmen pramono doel pilih mjd gubernur dkj warung madura buka  jam aktif blk tuk tingkat sdm masyarakat jakarta jakartamenyala,KangManto123,neutral
bismillah niat tulus bawa jakartamenyala dukung warga jakarta dihijabahi allah swt aamiin program prakaruntukjakarta omon sajaapalagi janji palsu pilih you know yaa,siapanamina,positive
rano karno janji jalan program makan gizi gratis prabowo jakarta jakarta  calon wakil gubernur cawagub jakarta rano karno jalan program perintah pusat makan gizi gratis jakartamenyala,tvspartanindo,neutral
uang rakyat unk rakyat jabat keluarga yg sdh selesai jabat dukung industri kreatif umkm jakarta cagub pramono siap hibah rp  triliun apbd jakartamenyala,ch_chotimah2,neutral
blusukan koja pramono anung janji diri slb sekolah slb pramono dana bantu usaha latih kerja kpd sandang disabilitas jakartamenyala,KangManto123,positive
pagipagi dah hebohbanget nonton alip baihak ngeroasting mas pram roasting sewot tegang jaimlaah mas ngakak   jakarta rumah industri kreatif mas pram  bang doel ruang komika jakartamenyala,DioR3born,neutral
pramono anung janji slb jakarta utara gubernur beliau perintah mesti hadir fasilitas sandang disabilitas jakartamenyala,BungkusTukang,positive
umkm senang rakyat riang jakartamenyala,HumorJonTampan,positive
budaya identitas bangsa jakartamenyala prakaruntukjakarta,HumorJonTampan,neutral
jakartamenyala ,elsaday__,positive
mas pram  bang doel program komitmen pilih maju budaya betawi  pimpin peduli lestari budaya daerah pimpin adopsi budaya terap wilayah  jakartamenyala,BungkusTukang,positive
video vibesnya asa banget inshaaallah pimpin jakarta amanah adil pramdoel jakartamenyala prakaruntukjakarta  pagipagi indah g bernadya tumbangkanfufufafa hasto yahya sinwar,_riverheaven,positive
ide keren mas pram bang doel kalo klean kepingin jakarta tinggal yg jangkau ruang u karya amp inovasi jawab dukung  pramono anungrano karno jakartamenyala prakaruntukjakarta,denni_sauya,positive
rocky gerung dukung paslon mas prambang doel jakarta lenting jakartamenyala,narkosun,positive
juang utk jakartamenyala ,TutupG56821,positive
wajib perintah maju budaya betawi amanat pasal  undangundang nomor   daerah khusus jakarta amanah maju budaya betawi wujud jakartamenyala,DS_yantie,neutral
mas pram muda idealis dinamis dab progresif target rezim orde aman   orang tua intimidasi anak keras  jakartamenyala lawan ketidakadilan,SETYAKI22965702,positive
prakar jakarta jakartamenyala ,Cintada16,positive
mas pram bang doel pimpin inklusif bikin jakartamenyala,Ari3Pras,positive
dukung fbr forkabi pramono anung rano karno milik kuat bangun jakarta jakartamenyala,rsy4me,positive
pramono anung sosok pimpin akar masyarakat dukung fbr forkabi paham butuh harap masyarakat betawi jakartamenyala,rsy4me,positive
mantap jakartamenyala ,Cintada16,positive
programprogram rencana pramono anung budaya betawi hidup kembang jakartamenyala,rsy4me,positive
dukung organisasi betawi pramono anung tekad wujud jakarta budaya percaya budaya betawi bangun kota jakartamenyala,rsy4me,positive
tokoh pimpin kolaboratif jakartamenyala,Ari3Pras,positive
dukung organisasi pramono anung komitmen lestari budaya betawi janji integrasi budaya lokal bijak ambil masyarakat harga akomodasi jakartamenyala,rsy4me,positive
dukung forkabi fbr pramono anung pandang sosok juang sejahtera masyarakat betawi milik rencana konkret tingkat taraf hidup perhati masyarakat butuh jakartamenyala,rsy4me,positive
 bangun jakarta bas budaya janji mas jakartamenyala bangun kota gerus arif lokal budaya,TOM5helby,positive
mantap ni mas pram tinjau ulang retribusi dagang lanjut bangun pasar munjul mas pram pihak rakyat prakaruntukjakarta jakartamenyala,Cintada16,neutral
pramono anung  rano karno komitmen hadir programprogram tingkat kualitas hidup masyarakat kuat identitas budaya betawi jakartamenyala,thejoyofus,positive
dukung ormas pramono anung milik visi bangun jakarta masyarakat betawi jakartamenyala,thejoyofus,positive
harga detikcom awards  tokoh pimpin kolaboratif raih pramono anung kualitas pimpin mas pram gak ragu jakarta kota kolaboratif butuh pimpin kelas pramono anung jakartamenyala prakaruntukjakarta,mulanbilqis,positive
mas pram pasti warung madura buka  jam mas pram solusiide sejahtera warga jakarta prakaruntukjakarta jakartamenyala,Cintada16,negative
dukung alir fbr amp forkabi bukti nyata pramono anung pribadi aktif dengar aspirasi keluh warga jadi pilih pilkada jakarta jakartamenyala,thejoyofus,positive
dukung ormas pramono anung harap jembatan generasi tua muda masyarakat betawi milik visi gabung nilainilai tradisi butuh modernisasi budaya betawi jaga jakartamenyala,thejoyofus,positive
blusukan biasa pramono keliling jakarta stres jakartamenyala prakaruntukjakarta,triwul82,positive
pramono tambah slb jakarta utara keluh warga nama upi apriyani milik rumah quran disabilitas jakarta utara pramdoelmenang jakartamenyala pramdoelmenyala pramdoel jakartamnyala prakaruntukjakarta,Ganjarfor_ri,positive
pramono anung janji tinjau ulang retribusi dagang pasar munjul     jakartamenyala prakaruntukjakarta,B3doel___,neutral
raih harga detikcom award  tokoh tokoh pimpin kolaboratif nominasi sorot mampu pramono anung bangun kerjasama lintas sektor eksekutif legeslatif tokoh politik nya jakartamenyala,breakingNEW_upd,neutral
dukung forkabi amp fbr pramono anung harap masyarakat betawi berani komitmen juang hakhak masyarakat jadi calon pimpin layak hitung pilkada jakarta jakartamenyala,thejoyofus,positive
mas raih award  tokoh pimpin kolaboratif dalam dunia polituk mas pram kenal sosok yg bangun sinergitas utk capai tuju jakartamenyala prakar   ,SETYAKI22965702,positive
ketawa ngakak diroasting komika alip baihak pramono woles jakartamenyala prakaruntukjakarta,triwul82,positive
dukung fbr amp forkabi pramono anung sinyal kuat ubah positif masyarakat betawi harap pramono sosok yg penuh ekspektasi masyarakat amp jadi jakarta jakartamenyala,thejoyofus,positive
dukung fbr amp forkabi bukti pramono anung calon pimpin yg aku  ormas besar betawi cermin percaya masyarakat kapasitas pramono juang aspirasi jakartamenyala,thejoyofus,positive
mas pramono lanjut program yg gubernur jakarta baik yg jakartamenyala prakaruntukjakarta,triwul82,positive
selamat ulang yg  presiden pilih prabowo subianto sehat umur moga kepimpinanan beliau bangsa ekonomi dintuntaskan aamiin jakartamenyala prakaruntukindonesia,doctor__fabre,positive
percaya pimpin jakarta pramonobang doel komitmen angkat maju budaya betawi jakartamenyala prakaruntukjakarta,mulanbilqis,positive
dukung  organisasi betawi pramono anung harap bawa jakarta milik visi atas tantang hadap jakarta budaya sejahtera masyarakat jakartamenyala,SaguKeju8,positive
pramono anung kenal pimpin dengar paham aspirasi masyarakat sempat komitmen juang sejahtera masyarakat betawi jakartamenyala,SaguKeju8,negative
pasang pramono anung rano karno anggap duo ideal pimpin jakarta latar kuat politik budaya dua milik potensi bawa jakarta arah jakartamenyala,SaguKeju8,positive
deklarasi dukung pramono janji kembang programprogram angkat harkat martabat budaya betawi jadi integral identitas jakarta jakartamenyala,SaguKeju8,positive
dukung fbr forkabi pramono anung milik visi lestari maju budaya betawi jakartamenyala,SaguKeju8,positive
pramono anung  rano karno dukung kuat fbr amp forkabi pilkada jakarta  dukung pramono calon gubernur juang aspirasi masyarakat betawi jakartamenyala,SaguKeju8,positive
jakarta bentar pimpin inklusif mas pram bangun slb  bang doel komitmen ruang sandang disabilitas  melow tau kunjung bang doel caffe sunyi prakaruntukjakarta jakartamenyala,Penyair_Berdiri,neutral
jakartamenyala jakarta nyala bang doel kampanye riang gembira tani mpok oneng program pramono rano pihak warga jakarta gak mulukmuluk kaga ribet dah   yahya sinwar erina mulyono,RenaHoston178,neutral
rumah jakarta harga murah susah niii ide muncul creative hub amp huni kantor  lahan batas ide gak batas jakartamenyala prakaruntukjakarta  mulyono indah g abu janda nganggur khofifah semangat,_riverheaven,positive
pramono anung rano karno bang doel pimpin lapis warga masyarakat kelompok golong yg beda krn tugas pimpin jakarta utk taung lindung warga masyarakat tunggu bikin jakartamenyala,KING_RADJA_PWS,positive
 jakartamenyala untungnyaadapramdoel indah g yahya sinwar erina yahya sinwar hebohbanget,Kalderha,positive
doa pramono anung prabowo subianto selamat ulang prabowo moga sehat pimpin negeri jakarta biar mas pram bang doel aja yg mimpin yaaa amienn jakartamenyala,b_yoem,positive
nyok kite doa moga mas pram amp bang doel pimpin aamiin jakartamenyala prakaruntukjakarta gantar ,aan_muba,positive
kualitas pramono anung pimpin jakarta percaya khusus kait lingkung yuks ramai dukung pramono anung bareng slank jakartamenyala prakaruntukjakarta untungnyaadapramdoel yahya sinwar erina mulyono bahlil,RenaHoston178,positive
alhamdulillah rawan mas pramono tambah wilayah jakarta mas pramono  bang rano jakartamenyala prakaruntukjakarta  gaza iphone  yahya sinwar abidzar indah g erina israel,Eil_Thia,positive
bukti kerja warga jakarta pilih mas pram bang rano jujur tanggung kerja nya jakartamenyala liat abidzar abu janda indah g hebohbanget erina pimnas bocah,Cinta_42345,positive
selamat mas pram moga dki biar jakartamenyala ,elsaday__,positive
kaluna  sandwich generation  ya  erina hebohbanget  he he he untungnyaadapramdoel bangun sistem transportasi publik integrasi nilai jadi solusi jitu macet jakarta prakaruntukjakarta jakartamenyala,Penyair_Berdiri,neutral
mas pram ucap selamat ulang prabowo subianto pramono doa prabowo sebentar lantik presiden minggu   jakartamenyala untungnyaadapramdoel indah g yahya sinwar erina yahya sinwar hebohbanget,Kalderha,neutral
 mpokmpok amp abangabang jakarta utara bangun slb komitmen paslon dk jakarta jakartamenyala prakaruntukjakarta ngik,HumorJonTampan,positive
calon gubernur jakarta nomor urut  pramono anung janji dana hibah laku usaha mikro tengah umkm pilih pilkada jakarta   jakartamenyala untungnyaadapramdoel indah g liam payne erina yahya sinwar hebohbanget,Kalderha,positive
 aku mas yg cagub daerah jakarta jakartamenyala prakaruntukjakarta ngik,HumorJonTampan,negative
 kagak pake ribet pilih mas bang aja utk jakartamenyala ye prakaruntukjakarta ngik,HumorJonTampan,neutral
pramono anung terima harga detikcom awards  tokoh pimpin kolaboratif  jakartamenyala untungnyaadapramdoel indah g liam payne erina yahya sinwar hebohbanget,Kalderha,positive
jakartamenyala jakarta si doel anak betawi,Zaindamai,negative
mas pram bangun slb jakarta utara komitmen upi apriyani milik rumah quran khusus disabilitas keluh minim sedia slb wilayah  jakartamenyala untungnyaadapramdoel indah g erina yahya sinwar hebohbanget,Kalderha,positive
tinjau ulang retribusi dagang pasar lanjut bangun pasar munjul mangkrak kemangkrakan duga temu hukum mas pram naluri dagang jakartamenyala,SETYAKI22965702,neutral
program mas prambang doel salah satu maju budaya  jakartamenyala untungnyaadapramdoel indah g erina yahya sinwar hebohbanget,Kalderha,neutral
jakarta kurang lahan bangun rumah bangun jakarta model vertikal apartemen rumah susun  kalo rumah huni bangun amp sedia atas kantor layan publik  ya ciamik n kagak ribet dah  prakaruntukjakarta jakartamenyala,Penyair_Berdiri,neutral
program nyata mas pram  bang doel wajib dukung jakartamenyala ,elsaday__,positive
fufufafa jilid ii bersih maju pilgub dkj  segera hapus postingan x indikasi leceh karakter warga jakarta no yes mas pram  bang doel jakartamenyala,SETYAKI22965702,positive
cagub kes paksa mes panggil naturalusasi      kang emil gt bang emil jakartamenyala   mas pram  bang doel,SETYAKI22965702,neutral
nyala jakarta mas pram  bang doel sosok pasang lengkap kite butuh nih pimpin nyang klop macem gin niih  bawa ubah jakarta nyala jakartamenyala prakar,SETYAKI22965702,neutral
warga jakarta pilih mas pram bang rano jujur tanggung kerja nya jakartamenyala liat abidzar abu janda indah g hebohbanget erina pimnas bocah,Ranisor_6,positive
si bob halu mau instan tabrak konstitusi penuh ambisi pribadi gak instan sukses  unless you are a professional son jakartamenyala prakar   ,SETYAKI22965702,positive
mas pram  bang doel top nya jakartamenyala ,elsaday__,neutral
 jakarta sulit huni minimal harga minim  gak muluk  muluk dech     mas pram  bang doel solusi jakartamenyala   ,SETYAKI22965702,negative
